Name,State,Distance to the Capital (Km),Total Population,Total Area,Density,HDI,URL
Silvianópolis,Minas Gerais,425,6029 hab.,"312,043km²","19,3hab./km²","0,699",https://pt.wikipedia.org/wiki/Silvian%C3%B3polis
Silveirânia,Minas Gerais,242,2192 hab.,"157,484km²","13,9hab./km²","0,721",https://pt.wikipedia.org/wiki/Silveir%C3%A2nia
Setubinha,Minas Gerais,580,9917 hab.,"534,655km²","18,5hab./km²","0,542",https://pt.wikipedia.org/wiki/Setubinha
Sete Lagoas,Minas Gerais,72,237931 hab.,"536,928km²","443,1hab./km²","0,760",https://pt.wikipedia.org/wiki/Sete_Lagoas
Serro,Minas Gerais,325,21952 hab.,"1217,645km²",18hab./km²,"0,656",https://pt.wikipedia.org/wiki/Serro
Serranos,Minas Gerais,380,2023 hab.,"212,493km²","9,5hab./km²","0,643",https://pt.wikipedia.org/wiki/Serranos
Serranópolis de Minas,Minas Gerais,614,4425 hab.,"553,103km²",8hab./km²,"0,655",https://pt.wikipedia.org/wiki/Serran%C3%B3polis_de_Minas
Serrania,Minas Gerais,382,7540 hab.,"211,477km²","35,7hab./km²","0,677",https://pt.wikipedia.org/wiki/Serrania
Serra dos Aimorés,Minas Gerais,615,6944 hab.,"213,538km²","32,5hab./km²","0,651",https://pt.wikipedia.org/wiki/Serra_dos_Aimor%C3%A9s_(Minas_Gerais)
Serra do Salitre,Minas Gerais,368,11801 hab.,"1297,748km²","9,1hab./km²","0,696",https://pt.wikipedia.org/wiki/Serra_do_Salitre
Serra da Saudade,Minas Gerais,230,833 hab.,"335,659km²","2,5hab./km²","0,677",https://pt.wikipedia.org/wiki/Serra_da_Saudade
Serra Azul de Minas,Minas Gerais,272,3792 hab.,"222,706km²",17hab./km²,"0,653",https://pt.wikipedia.org/wiki/Serra_Azul_de_Minas
Seritinga,Minas Gerais,380,1790 hab.,"114,451km²","15,6hab./km²","0,660",https://pt.wikipedia.org/wiki/Seritinga
Sericita,Minas Gerais,274,7149 hab.,"166,674km²","42,9hab./km²","0,662",https://pt.wikipedia.org/wiki/Sericita
Senhora dos Remédios,Minas Gerais,180,10565 hab.,"237,107km²","44,6hab./km²","0,685",https://pt.wikipedia.org/wiki/Senhora_dos_Rem%C3%A9dios
Senhora do Porto,Minas Gerais,222,3067 hab.,"382,256km²",8hab./km²,"0,653",https://pt.wikipedia.org/wiki/Senhora_do_Porto
Senhora de Oliveira,Minas Gerais,180,5689 hab.,"169,804km²","33,5hab./km²","0,654",https://pt.wikipedia.org/wiki/Senhora_de_Oliveira
Senador Modestino Gonçalves,Minas Gerais,373,4008 hab.,"952,055km²","4,2hab./km²","0,626",https://pt.wikipedia.org/wiki/Senador_Modestino_Gon%C3%A7alves
Senador José Bento,Minas Gerais,420,1793 hab.,"94,589km²",19hab./km²,"0,684",https://pt.wikipedia.org/wiki/Senador_Jos%C3%A9_Bento
Senador Firmino,Minas Gerais,312,7230 hab.,"166,152km²","43,5hab./km²","0,73",https://pt.wikipedia.org/wiki/Senador_Firmino
Senador Cortes,Minas Gerais,365,1980 hab.,"98,430km²","20,1hab./km²","0,731",https://pt.wikipedia.org/wiki/Senador_Cortes
Senador Amaral,Minas Gerais,447,5225 hab.,"151,135km²","34,6hab./km²","0,661",https://pt.wikipedia.org/wiki/Senador_Amaral
Sem-Peixe,Minas Gerais,181,2579 hab.,"176,634km²","14,6hab./km²","0,654",https://pt.wikipedia.org/wiki/Sem-Peixe
Sarzedo,Minas Gerais,33,36844 hab.,"62,134km²",593hab./km²,"0,734",https://pt.wikipedia.org/wiki/Sarzedo_(Minas_Gerais)
Sardoá,Minas Gerais,289,5104 hab.,"141,508km²","36,1hab./km²","0,684",https://pt.wikipedia.org/wiki/Sardo%C3%A1
Sapucaí-Mirim,Minas Gerais,456,6311 hab.,"285,073km²","22,1hab./km²","0,680",https://pt.wikipedia.org/wiki/Sapuca%C3%AD-Mirim
São Vicente de Minas,Minas Gerais,280,7073 hab.,"392,067km²",18hab./km²,"0,715",https://pt.wikipedia.org/wiki/S%C3%A3o_Vicente_de_Minas
São Tomé das Letras,Minas Gerais,346,7089 hab.,"369,515km²","19,2hab./km²","0,667",https://pt.wikipedia.org/wiki/S%C3%A3o_Tom%C3%A9_das_Letras
São Sebastião do Rio Preto,Minas Gerais,169,1259 hab.,"127,182km²","9,9hab./km²","0,706",https://pt.wikipedia.org/wiki/S%C3%A3o_Sebasti%C3%A3o_do_Rio_Preto
São Sebastião do Paraíso,Minas Gerais,400,71796 hab.,"814,925km²","88,1hab./km²","0,722",https://pt.wikipedia.org/wiki/S%C3%A3o_Sebasti%C3%A3o_do_Para%C3%ADso
São Sebastião do Oeste,Minas Gerais,142,5805 hab.,"404,045km²","14,4hab./km²","0,746",https://pt.wikipedia.org/wiki/S%C3%A3o_Sebasti%C3%A3o_do_Oeste
São Sebastião do Maranhão,Minas Gerais,351,10079 hab.,"519,302km²","19,4hab./km²","0,608",https://pt.wikipedia.org/wiki/S%C3%A3o_Sebasti%C3%A3o_do_Maranh%C3%A3o
São Sebastião do Anta,Minas Gerais,305,6194 hab.,"80,618km²","76,8hab./km²","0,607",https://pt.wikipedia.org/wiki/S%C3%A3o_Sebasti%C3%A3o_do_Anta
São Sebastião da Vargem Alegre,Minas Gerais,296,3113 hab.,"73,629km²","42,3hab./km²","0,660",https://pt.wikipedia.org/wiki/S%C3%A3o_Sebasti%C3%A3o_da_Vargem_Alegre
São Sebastião da Bela Vista,Minas Gerais,362,5598 hab.,"167,428km²","33,4hab./km²","0,692",https://pt.wikipedia.org/wiki/S%C3%A3o_Sebasti%C3%A3o_da_Bela_Vista
São Roque de Minas,Minas Gerais,320,6686 hab.,"2100,702km²","3,2hab./km²","0,766",https://pt.wikipedia.org/wiki/S%C3%A3o_Roque_de_Minas
São Romão,Minas Gerais,529,10315 hab.,"2434,004km²","4,2hab./km²","0,640",https://pt.wikipedia.org/wiki/S%C3%A3o_Rom%C3%A3o_(Minas_Gerais)
São Pedro da União,Minas Gerais,419,4885 hab.,"258,511km²","18,9hab./km²","0,674",https://pt.wikipedia.org/wiki/S%C3%A3o_Pedro_da_Uni%C3%A3o
São Pedro dos Ferros,Minas Gerais,201,7634 hab.,"402,739km²",19hab./km²,"0,659",https://pt.wikipedia.org/wiki/S%C3%A3o_Pedro_dos_Ferros
São Pedro do Suaçuí,Minas Gerais,305,5103 hab.,"308,771km²","16,5hab./km²","0,665",https://pt.wikipedia.org/wiki/S%C3%A3o_Pedro_do_Sua%C3%A7u%C3%AD
São Lourenço,Minas Gerais,387,44798 hab.,"58,019km²","772,1hab./km²","0,759",https://pt.wikipedia.org/wiki/S%C3%A3o_Louren%C3%A7o_(Minas_Gerais)
São José do Mantimento,Minas Gerais,349,2592 hab.,"54,475km²","47,6hab./km²","0,683",https://pt.wikipedia.org/wiki/S%C3%A3o_Jos%C3%A9_do_Mantimento
São Miguel do Anta,Minas Gerais,249,6334 hab.,"152,111km²","41,6hab./km²","0,717",https://pt.wikipedia.org/wiki/S%C3%A3o_Miguel_do_Anta
São José do Jacuri,Minas Gerais,322,6197 hab.,"345,146km²",18hab./km²,"0,669",https://pt.wikipedia.org/wiki/S%C3%A3o_Jos%C3%A9_do_Jacuri
São José do Goiabal,Minas Gerais,184,5454 hab.,"189,578km²","28,8hab./km²","0,666",https://pt.wikipedia.org/wiki/S%C3%A3o_Jos%C3%A9_do_Goiabal
São José do Divino,Minas Gerais,441,3464 hab.,"326,230km²","10,6hab./km²","0,687",https://pt.wikipedia.org/wiki/S%C3%A3o_Jos%C3%A9_do_Divino_(Minas_Gerais)
São José da Lapa,Minas Gerais,30,26090 hab.,"48,636km²","536,4hab./km²","0,747",https://pt.wikipedia.org/wiki/S%C3%A3o_Jos%C3%A9_da_Lapa
São José da Varginha,Minas Gerais,108,4770 hab.,"205,099km²","23,3hab./km²","0,76",https://pt.wikipedia.org/wiki/S%C3%A3o_Jos%C3%A9_da_Varginha
São José da Barra,Minas Gerais,332,6778 hab.,"312,496km²","21,7hab./km²","0,739",https://pt.wikipedia.org/wiki/S%C3%A3o_Jos%C3%A9_da_Barra
São José da Safira,Minas Gerais,361,3806 hab.,"213,881km²","17,8hab./km²","0,614",https://pt.wikipedia.org/wiki/S%C3%A3o_Jos%C3%A9_da_Safira
São Joaquim de Bicas,Minas Gerais,39,34348 hab.,"71,758km²","478,7hab./km²","0,662",https://pt.wikipedia.org/wiki/S%C3%A3o_Joaquim_de_Bicas
São João Nepomuceno,Minas Gerais,322,25565 hab.,"407,896km²","62,7hab./km²","0,708",https://pt.wikipedia.org/wiki/S%C3%A3o_Jo%C3%A3o_Nepomuceno_(Brasil)
São José do Alegre,Minas Gerais,438,4133 hab.,"89,243km²","46,3hab./km²","0,717",https://pt.wikipedia.org/wiki/S%C3%A3o_Jos%C3%A9_do_Alegre
São João das Missões,Minas Gerais,687,11715 hab.,"675,089km²","17,4hab./km²","0,529",https://pt.wikipedia.org/wiki/S%C3%A3o_Jo%C3%A3o_das_Miss%C3%B5es
São João do Pacuí,Minas Gerais,510,3972 hab.,"420,462km²","9,4hab./km²","0,615",https://pt.wikipedia.org/wiki/S%C3%A3o_Jo%C3%A3o_do_Pacu%C3%AD
São João do Paraíso,Minas Gerais,785,23910 hab.,"1921,172km²","12,4hab./km²","0,644",https://pt.wikipedia.org/wiki/S%C3%A3o_Jo%C3%A3o_do_Para%C3%ADso_(Minas_Gerais)
São João do Oriente,Minas Gerais,270,7393 hab.,"120,122km²","61,5hab./km²","0,648",https://pt.wikipedia.org/wiki/S%C3%A3o_Jo%C3%A3o_do_Oriente
São João Evangelista,Minas Gerais,280,15315 hab.,"478,183km²",32hab./km²,"0,638",https://pt.wikipedia.org/wiki/S%C3%A3o_Jo%C3%A3o_Evangelista_(Minas_Gerais)
São João do Manhuaçu,Minas Gerais,320,11246 hab.,"142,510km²","78,9hab./km²","0,798",https://pt.wikipedia.org/wiki/S%C3%A3o_Jo%C3%A3o_do_Manhua%C3%A7u
São João do Manteninha,Minas Gerais,499,5183 hab.,"139,388km²","37,2hab./km²","0,666",https://pt.wikipedia.org/wiki/S%C3%A3o_Jo%C3%A3o_do_Manteninha
São João del-Rei,Minas Gerais,180,94062 hab.,"1452,002km²","64,8hab./km²","0,758",https://pt.wikipedia.org/wiki/S%C3%A3o_Jo%C3%A3o_del-Rei
