Name,State,Distance to the Capital (Km),Total Population,Total Area,Density,HDI,URL
Laje do Muriaé,Rio de Janeiro,300,7491 hab.,"250,518km²","29,9hab./km²","0,668",https://pt.wikipedia.org/wiki/Laje_do_Muria%C3%A9
Macaé,Rio de Janeiro,190,264138 hab.,"1216,989km²",217hab./km²,"0,764",https://pt.wikipedia.org/wiki/Maca%C3%A9
Itaperuna,Rio de Janeiro,300,101041 hab.,"1106,694km²","91,3hab./km²","0,730",https://pt.wikipedia.org/wiki/Itaperuna
Itaocara,Rio de Janeiro,247,22919 hab.,"433,182km²","52,9hab./km²","0,713",https://pt.wikipedia.org/wiki/Itaocara
Italva,Rio de Janeiro,345,14063 hab.,"296,174km²","47,5hab./km²","0,724",https://pt.wikipedia.org/wiki/Italva
Itaguaí,Rio de Janeiro,73,133019 hab.,"275,870km²","482,2hab./km²","0,715",https://pt.wikipedia.org/wiki/Itagua%C3%AD
Itaboraí,Rio de Janeiro,45,224267 hab.,"429,961km²","521,6hab./km²","0,704",https://pt.wikipedia.org/wiki/Itabora%C3%AD
Iguaba Grande,Rio de Janeiro,123,29344 hab.,"53,601km²","547,5hab./km²","0,761",https://pt.wikipedia.org/wiki/Iguaba_Grande
Guapimirim,Rio de Janeiro,50,51696 hab.,"358,443km²","144,2hab./km²","0,698",https://pt.wikipedia.org/wiki/Guapimirim
Engenheiro Paulo de Frontin,Rio de Janeiro,85,13929 hab.,"139,816km²","99,6hab./km²","0,722",https://pt.wikipedia.org/wiki/Engenheiro_Paulo_de_Frontin
Duque de Caxias,Rio de Janeiro,16,808161 hab.,"467,271km²","1729,5hab./km²","0,711",https://pt.wikipedia.org/wiki/Duque_de_Caxias_(Rio_de_Janeiro)
Conceição de Macabu,Rio de Janeiro,227,"21,769 hab.","338,260km²","0,1hab./km²","0,712",https://pt.wikipedia.org/wiki/Concei%C3%A7%C3%A3o_de_Macabu
Comendador Levy Gasparian,Rio de Janeiro,160,8544 hab.,"108,639km²","78,6hab./km²","0,685",https://pt.wikipedia.org/wiki/Comendador_Levy_Gasparian
Casimiro de Abreu,Rio de Janeiro,140,46110 hab.,"462,918km²","99,6hab./km²","0,726",https://pt.wikipedia.org/wiki/Casimiro_de_Abreu_(Rio_de_Janeiro)
Carmo,Rio de Janeiro,192,17439 hab.,"321,187km²","54,3hab./km²","0,763",https://pt.wikipedia.org/wiki/Carmo_(Rio_de_Janeiro)
Cardoso Moreira,Rio de Janeiro,330,12958 hab.,"522,596km²","24,8hab./km²","0,648",https://pt.wikipedia.org/wiki/Cardoso_Moreira
Carapebus,Rio de Janeiro,210,14713 hab.,"305,501km²","48,2hab./km²","0,74",https://pt.wikipedia.org/wiki/Carapebus
Duas Barras,Rio de Janeiro,180,10980 hab.,"379,619km²","28,9hab./km²","0,659",https://pt.wikipedia.org/wiki/Duas_Barras
Cordeiro,Rio de Janeiro,190,20783 hab.,"113,048km²","183,8hab./km²","0,729",https://pt.wikipedia.org/wiki/Cordeiro_(Rio_de_Janeiro)
Cantagalo,Rio de Janeiro,200,19390 hab.,"747,210km²","25,9hab./km²","0,709",https://pt.wikipedia.org/wiki/Cantagalo_(Rio_de_Janeiro)
Cambuci,Rio de Janeiro,295,14616 hab.,"558,281km²","26,2hab./km²","0,691",https://pt.wikipedia.org/wiki/Cambuci
Cachoeiras de Macacu,Rio de Janeiro,97,"59,837 hab.","954,749km²","0,1hab./km²","0,700",https://pt.wikipedia.org/wiki/Cachoeiras_de_Macacu
Cabo Frio,Rio de Janeiro,155,222161 hab.,"413,449km²","537,3hab./km²","0,735",https://pt.wikipedia.org/wiki/Cabo_Frio
Bom Jesus do Itabapoana,Rio de Janeiro,366,35173 hab.,"596,659km²","58,9hab./km²","0,732",https://pt.wikipedia.org/wiki/Bom_Jesus_do_Itabapoana
Bom Jardim,Rio de Janeiro,160,28102 hab.,"382,430km²","73,5hab./km²","0,660",https://pt.wikipedia.org/wiki/Bom_Jardim_(Rio_de_Janeiro)
Belford Roxo,Rio de Janeiro,28,446731 hab.,"78,985km²","5655,9hab./km²","0,684",https://pt.wikipedia.org/wiki/Belford_Roxo
Campos dos Goytacazes,Rio de Janeiro,275,483551 hab.,"4032,487km²","119,9hab./km²","0,716",https://pt.wikipedia.org/wiki/Campos_dos_Goytacazes
Barra Mansa,Rio de Janeiro,127,169899 hab.,"547,133km²","310,5hab./km²","0,729",https://pt.wikipedia.org/wiki/Barra_Mansa
Barra do Piraí,Rio de Janeiro,100,101139 hab.,"578,471km²","174,8hab./km²","0,733",https://pt.wikipedia.org/wiki/Barra_do_Pira%C3%AD
Arraial do Cabo,Rio de Janeiro,118,30827 hab.,"152,305km²","202,4hab./km²","0,733",https://pt.wikipedia.org/wiki/Arraial_do_Cabo
Armação dos Búzios,Rio de Janeiro,160,35060 hab.,"69,287km²",506hab./km²,"0,728",https://pt.wikipedia.org/wiki/Arma%C3%A7%C3%A3o_dos_B%C3%BAzios
Areal,Rio de Janeiro,103,11828 hab.,"110,919km²","106,6hab./km²","0,684",https://pt.wikipedia.org/wiki/Areal
Araruama,Rio de Janeiro,124,136109 hab.,"638,276km²","213,2hab./km²","0,718",https://pt.wikipedia.org/wiki/Araruama
Aperibé,Rio de Janeiro,248,11034 hab.,"94,542km²","116,7hab./km²","0,692",https://pt.wikipedia.org/wiki/Aperib%C3%A9
